project_name,engagement_type,activity_type,facilitator,description,academic_year,semester,end_semester,total_uno_students,total_uno_hours,total_k12_students,total_k12_hours,total_other_community_members,total_uno_faculty,total_economic_impact,other_details,outcomes,campus_partner,community_partner,mission,mission_type,status,address_line1,city,state,zip
18th Annual Leonard and Shirley Goldstein Lecture on Human Rights: 2016-17 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"The Set Me Free Project’s presentation provides students, parents, educators, medical, and industry professionals with knowledge and tools to make safe, informed decisions about human trafficking. ADDITIONAL FACILITATORS: Dr. C.C. and Mabel L. Criss Library",2016-17,Spring 2017,Spring 2017,0,0,0,0,40,0,0,N/A,N/A,"Philosophy and Religious Studies, Department of",The Set Me Free Project,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
18th Annual Leonard and Shirley Goldstein Lecture on Human Rights: 2016-17 (003),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Anna D. Deal, ESQ., Justice For Our Neighbors Attorney, covers the requirements for U Visas, Continued Presence, T Visas, and Special Immigrant Juvenile Status for victims of human trafficking. ADDITIONAL FACILITATORS: Dr. C.C. and Mabel L. Criss Library",2016-17,Spring 2017,Spring 2017,0,0,0,0,20,0,0,N/A,N/A,"Philosophy and Religious Studies, Department of",Justice For Our Neighbors (JFON),Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
18th Annual Leonard and Shirley Goldstein Lecture on Human Rights: 2016-17 (005),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"A film and discussion with Jeremy Rehwaldt, Ph.D., about power and privilege into enslavement. ADDITIONAL FACILITATORS: Dr. C.C. and Mabel L. Criss Library; ADDITIONAL COMMUNITY PARTNERS: Malcolm X Foundation; ADDITIONAL CAMPUS PARTNERS: Islamic Studies",2016-17,Spring 2017,Spring 2017,0,0,0,0,20,0,0,N/A,N/A,"Philosophy and Religious Studies, Department of",Midland University,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
18th Annual Leonard and Shirley Goldstein Lecture on Human Rights: 2016-17 (006),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Anna Brewer, former FBI Agent and Human Trafficking Response Agent for the Womens Fund of Omaha, teaches a course designed to educate the audience to realize that human trafficking exists in our community. The class improves a person's ability to recognize the signs of human trafficking in order to create change. ADDITIONAL FACILITATORS: Dr. C.C. and Mabel L. Criss Library",2016-17,Spring 2017,Spring 2017,0,0,0,0,60,0,0,N/A,N/A,"Philosophy and Religious Studies, Department of",Womens Fund of Greater Omaha,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
18th Annual Leonard and Shirley Goldstein Lecture on Human Rights: 2016-17 (008),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Peter Hunt, Ph.D., explores three important issues surrounding women slaves. Historians know the experience of slavery was different for men and for women in ancient societies. However, our evidence about slavery in general is sparse and biased, and our information about women slaves is even worse. ADDITIONAL FACILITATORS: Dr. C.C. and Mabel L. Criss Library",2016-17,Spring 2017,Spring 2017,0,0,0,0,70,0,0,N/A,N/A,"Philosophy and Religious Studies, Department of",University of Colorado Boulder,Social Justice,Primary,Completed,"6401 University Drive, Road North",Omaha,NE,68132
2nd Annual John Trudell Lecture in Native American Studies: 2016-17 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"The lecture series honors the legacy of Santee citizen, American Indian rights activist, international recording artist, and Hollywood actor John Trudell. Drawing upon an important visual archive of photographic images and film reels, Lonetree explores the complexities of cultural performance, modern labor, and the ongoing legacies of settler colonialism through the experiences of Ho-Chunk people performing Indigeneity within the contact zone of twentieth century Wisconsin. Particular attention is given to privileging the perspectives of the Indigenous people captured in the frame and the ongoing meaning that this visual archive has to our understanding of Ho-Chunk identity, the various ways Ho-Chunk people sought to make a living in the twentieth century, issues of representation, tourism, and survivance. ADDITIONAL CAMPUS PARTERS: Native American Studies",2016-17,Spring 2017,Spring 2017,0,0,0,0,141,0,0,N/A,N/A,"History, Department of",University of California Santa Cruz,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2016-17 (002),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Made Reverse Trick or Treat bags & called for Red Cross to set up drives,2016-17,Fall 2016,Fall 2016,24,20,0,0,1,1,0,N/A,pre-post surveys,Maverick Food Pantry,American Red Cross,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2016-17 (004),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Encouraging cards & posters and video to P4K students,2016-17,Fall 2016,Fall 2016,43,20,0,0,1,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Partnership 4 Kids (P4K),Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2016-17 (005),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Email letters to local representatives,2016-17,Fall 2016,Fall 2016,25,20,0,0,1,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Civic Nebraska,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
60 Minutes of Service: 2016-17 (006),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Cut out Juxtaposition art pieces for TEDxUNO,2016-17,Spring 2017,Spring 2017,28,20,0,0,1,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),WhyArts? Inc.,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
