name,address_line1,city,state,zip,website_url,weitz_cec_part,community_type,k12_level,mission_area,mission_type,community_partner
75 North,2112 North 30th Street,Omaha,NE,68111,http://www.seventyfivenorth.org/about-75-north/,No,Nonprofit,N/A,Economic Sufficiency,Primary,75 North
A Time to Heal (ATTH),"6400 South, University Drive Road North",Omaha,NE,68182,http://atimetohealfoundation.org/,Yes,Nonprofit,N/A,Health and Wellness,Primary,A Time to Heal (ATTH)
AARP,1941 S 42nd St,Omaha,NE,68105,local.aarp.org/omahane,No,Nonprofit,N/A,Health and Wellness,Primary,AARP
Abide Network,3223 N 45th St,Omaha,NE,68104,www.abideomaha.org,No,Nonprofit,N/A,Economic Sufficiency,Primary,Abide Network
Aksarben Senior Center,1330 S 70th st,Omaha,NE,68106,aksarbenseniorliving.com,No,Nonprofit,N/A,Health and Wellness,Primary,Aksarben Senior Center
Aksarben-Elmwood Neighborhood Association,1500 S 60th Street,Omaha,NE,68106,https://aepna.org/,No,Nonprofit,N/A,Social Justice,Primary,Aksarben-Elmwood Neighborhood Association
Alliance for a Better Omaha,10525 J St.,Omaha,NE,68127,togetheromaha.org,No,Nonprofit,N/A,Economic Sufficiency,Primary,Alliance for a Better Omaha
"Alzheimer's Association, Nebraska Chapter",11711 Arbor St #110,Omaha,NE,68114,https://www.alz.org/nebraska/,No,Nonprofit,N/A,Health and Wellness,Primary,"Alzheimer's Association, Nebraska Chapter"
American Cancer Society: Hope Lodge,8030 Farnam Drive,Omaha,NE,68114,https://www.cancer.org/treatment/support-programs-and-services/patient-lodging/hope-lodge/omaha.html,No,Nonprofit,N/A,Health and Wellness,Primary,American Cancer Society: Hope Lodge
American Legion 373,7380 Q Street,Ralston,NE,68127,https://centennial.legion.org/nebraska/post373,No,Nonprofit,N/A,Health and Wellness,Primary,American Legion 373
American Lung Association in Nebraska,11225 Davenport Street #101,Omaha,NE,68154,https://www.lung.org/about-us/local-associations/nebraska.html,No,Nonprofit,N/A,Health and Wellness,Primary,American Lung Association in Nebraska
American Red Cross,2912 S 80th Ave,Omaha,NE,68182,https://www.redcross.org/donate/disaster-donations.html/,No,Nonprofit,N/A,Health and Wellness,Primary,American Red Cross
Apostle Nursing Home Health Care,14511 Borman St,Omaha,NE,68138,http://www.spenddownnebraska.com/,No,Nonprofit,N/A,Health and Wellness,Primary,Apostle Nursing Home Health Care
