name,college_name,university,education_system,weitz_cec_part
"Aerospace, Department of",College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
"Anthropology, Department of",College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
Arnold Airforce Society,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
"Arts, School of","College of Communication, Fine Arts, and Media",University of Nebraska Omaha,Nebraska Edu,No
Barbara Weitz Community Engagement Center (CEC),Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
"Biology, Department of",College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
"Black Studies, Department of",College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
Center for Faculty Excellence (CFE),Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
Center for Public Affairs Research (CPAR),College of Public Affairs and Community Service,University of Nebraska Omaha,Nebraska Edu,No
Center for Urban Sustainability,Division of Student Success,University of Nebraska Omaha,Nebraska Edu,Yes
"Chemistry, Department of",College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
Child Care Center,University,University of Nebraska Omaha,Nebraska Edu,No
Chinese Student Scholars Association,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
Circle K International,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
College of Business Administration (CBA),College of Business Administration,University of Nebraska Omaha,Nebraska Edu,No
"Communication, School of","College of Communication, Fine Arts, and Media",University of Nebraska Omaha,Nebraska Edu,No
Community Science Table,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
"Computer Science, Department of",College of Information Science & Technology,University of Nebraska Omaha,Nebraska Edu,No
"Criminology and Criminal Justice, School of",College of Public Affairs and Community Service,University of Nebraska Omaha,Nebraska Edu,No
"Digital Learning, Office of",Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
Dr. C. C. and Mabel L. Criss Library,Dr. C. C. and Mabel L. Criss Library,University of Nebraska Omaha,Nebraska Edu,No
"Educational Leadership, department of",College of Education,University of Nebraska Omaha,Nebraska Edu,No
Engineering,College of Engineering,University of Nebraska Omaha,Nebraska Edu,No
"English, Department of",College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
Environmental Science,College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
Foreign Languages & Literature ,College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
Fraternity & Sorority Life,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
Freshman Leadership Council,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
"Geography & Geology, Department of",College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
"Gerontology, Department of",College of Public Affairs and Community Service,University of Nebraska Omaha,Nebraska Edu,No
Grace Abbott School of Social Work,College of Public Affairs and Community Service,University of Nebraska Omaha,Nebraska Edu,No
"Health & Kinesiology, School of",College of Education,University of Nebraska Omaha,Nebraska Edu,No
"History, Department of",College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
Honors Program,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
Housing & Residence Life,Division of Student Success,University of Nebraska Omaha,Nebraska Edu,No
Information Systems and Quantitative Analysis,College of Information Science & Technology,University of Nebraska Omaha,Nebraska Edu,No
Interdisciplinary Programs,College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
International Programs,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
Jim and Shirley Young Scholars Program,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
Karen Student Association,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
Lambda Theta Nu  ,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
Landscape Services,University,University of Nebraska Omaha,Nebraska Edu,No
Latino/Latin American Studies ,College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
Latinos in STEM,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
"Marketing and Management, Department of",College of Business Administration,University of Nebraska Omaha,Nebraska Edu,No
Maverick Food Pantry,Division of Student Success,University of Nebraska Omaha,Nebraska Edu,No
MaverickPR,"College of Communication, Fine Arts, and Media",University of Nebraska Omaha,Nebraska Edu,Yes
Men's Tennis Team,Athletics,University of Nebraska Omaha,Nebraska Edu,No
