name,college_name,university,education_system,weitz_cec_part
Aerospace Studies Department,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
Common Reader,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
Communities of Practice (UNO Play),Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
"Digital Learning, Office of",Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
Honors Program,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
OPS UNO Middle College,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
Service Learning Academy (SLA),Academic Affairs,University of Nebraska Omaha,Nebraska Edu,Yes
Thompson Learning Community,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
UNO/ OPS Middle College,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
WiSTEM,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
Young Scholars,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
Men's Tennis Team,Athletics,University of Nebraska Omaha,Nebraska Edu,No
Women's Tennis Team,Athletics,University of Nebraska Omaha,Nebraska Edu,No
Ancient Mediterranean Studies,College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
Anthropology,College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
"Biology, Department of",College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
"Black Studies, Department of",College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
"Chemistry, Department of",College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
"English, Department of",College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
Environmental Studies,College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
Foreign Language & Literature,College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
German,College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
"History, Department of",College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
ILUNO,College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
International Programs,College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
Islamic Studies,College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
Medieval and Renaissance Studies,College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
Natan and Hannah Schwalb Center for Israel and Jewish Studies (Schwalb Center),College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
Native American Studies,College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
Office of Latino/Latin American Studies (OLLAS),College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,Yes
"Philosophy and Religious Studies, Department of",College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
"Political Science, Department of",College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
"Psychology, Department of",College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
"Religious Studies, Department of",College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
Sociology,College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
Spanish,College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
"Spirituality, Public Health, Religious Studies (SPHRS)",College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,Yes
Volunteer Program Assessment-UNO (VPA-UNO),College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,Yes
Women and Gender Studies,College of Arts and Sciences (ASH),University of Nebraska Omaha,Nebraska Edu,No
"Business Administration, College of",College of Business Administration (CBA),University of Nebraska Omaha,Nebraska Edu,No
Management,College of Business Administration (CBA),University of Nebraska Omaha,Nebraska Edu,No
